"","para_name","vals"
"1","F_A_no",0.86
"2","F_A_yes",0.14
"3","M_A_no",0.85
"4","M_A_yes",0.15
"5","Fx_al_no",0.31
"6","Fx_al_yes",0.69
"7","CoB_aus",0.59
"8","CoB_asia",0.1
"9","CoB_other",0.3
"10","sib_no",0.5
"11","sib_1",0.33
"12","sib_2",0.13
"13","sib_3",0.04
"14","sex_m",0.51
"15","sex_f",0.49
"16","SES_1",0.2
"17","SES_2",0.2
"18","SES_3",0.21
"19","SES_4",0.19
"20","SES_5",0.2
"21","mage_b0",30.82
"22","mage_b1",2.2
"23","mage_b2",2.14
"24","mage_b3",2.65
"25","mage_b4",3.75
"26","msmok_b0",-2.1
"27","msmok_b1",-1.25
"28","msmok_b2",-0.84
"29","msmok_b3",-1.48
"30","msmok_b4",-2.57
"31","gest_b0",-2.51
"32","gest.mage_b1",0
"33","gest.SES2_b2",0.04
"34","gest.SES3_b3",-0.16
"35","gest.SES4_b4",-0.31
"36","gest.SES5_b5",-0.16
"37","gest.msmok_b6",-0.08
"38","dmode_b0",-2.92
"39","dmode.mage_b1",0.07
"40","dmode.SES2_b2",-0.05
"41","dmode.SES3_b3",-0.07
"42","dmode.SES4_b4",-0.16
"43","dmode.SES5_b5",-0.11
"44","LBW_b0",-4.81
"45","LBW.dmode_b1",0.7
"46","LBW.gest_b2",3.85
"47","LBW.mage_b3",0.01
"48","LBW.SES2_b4",0.14
"49","LBW.SES3_b5",0
"50","LBW.SES4_b6",0.16
"51","LBW.SES5_b7",0.34
"52","LBW.msmok_b8",0.66
"53","exp_b0",1.79
"54","exp.sex_b1",-0.17
"55","exp.sibs1_b2",-0.56
"56","exp.sibs2_b3",-0.99
"57","exp.sibs3_b4",-1.06
"58","exp.LBW_b5",-0.38
"59","exp.cobasi_b6",0.31
"60","exp.cobotr_b7",0.36
"61","exp.msath_b8",0.04
"62","exp.fsath_b9",-0.11
"63","exp.fhalle_b10",0
"64","exp.dmode_b11",-0.1
"65","exp.gest_b12",0.03
"66","exp.mage_b13",0.03
"67","exp.SES2_b14",0.86
"68","exp.SES3_b15",1.08
"69","exp.SES4_b16",0.72
"70","exp.SES5_b17",0.81
"71","exp.msmok_b18",-0.75
"72","out_b0",-2.39
"73","out.exp_b1",-0.24
"74","out.sex_b2",-0.63
"75","out.sibs1_b3",0.05
"76","out.sibs2_b4",0.02
"77","out.sibs3_b5",-0.02
"78","out.LBW_b6",0.19
"79","out.cobasi_b7",-0.04
"80","out.cobotr_b8",0.07
"81","out.msath_b9",0.95
"82","out.fsath_b10",0.69
"83","out.fhalle_b11",-0.11
"84","out.dmode_b12",0.17
"85","out.gest_b13",0.19
"86","out.mage_b14",0.02
"87","out.SES2_b15",0.11
"88","out.SES3_b16",-0.05
"89","out.SES4_b17",-0.12
"90","out.SES5_b18",-0.02
"91","out.msmok_b19",0.8
"92","Ry_b0",-1.74
"93","Ry.exp_b1",0.79
"94","Ry.sex_b2",-0.11
"95","Ry.sibs1_b3",-0.19
"96","Ry.sibs2_b4",-0.3
"97","Ry.sibs3_b5",-0.52
"98","Ry.LBW_b6",-0.18
"99","Ry.cobasi_b7",-0.29
"100","Ry.cobotr_b8",-0.35
"101","Ry.msath_b9",0.22
"102","Ry.fsath_b10",0.21
"103","Ry.fhalle_b11",0.29
"104","Ry.dmode_b12",-0.13
"105","Ry.gest_b13",0.13
"106","Ry.mage_b14",0.06
"107","Ry.SES2_b15",0.07
"108","Ry.SES3_b16",0.21
"109","Ry.SES4_b17",0.13
"110","Ry.SES5_b18",0.01
"111","Ry.msmok_b19",-0.54
